mz,importance,importance_std,rank,adjusted_p_value
375.14656375369816,0.03769490269448448,0.11016872335613492,1,1.506356120659994e-43
347.1359659371269,0.027184036253803535,0.09298856624704696,2,5.626035071481588e-43
154.0206471876676,0.021323857023065006,0.06900460031300516,3,2.0829882453306678e-30
156.02610078721085,0.020242536483328147,0.07739857179849817,4,6.644460712748026e-28
748.1609332687417,0.01563894489714647,0.06635221936356227,5,1.3566056590747609e-21
544.1635630201215,0.014486117420380164,0.06367037880949125,6,1.249746893520993e-38
573.1604494922058,0.013006838608421419,0.05480661719491794,7,5.969450739572369e-20
155.03981213169777,0.012574568914742987,0.054153089330926905,8,1.6779151115606495e-28
252.74814160452604,0.012289236221574485,0.04623874920140491,9,1.1480911451952748e-08
368.1439142995554,0.012204379230574372,0.05570563993564912,10,1.9995223771364986e-40
290.621625976228,0.01176939360816359,0.06087812499426615,11,5.956198113842584e-07
232.59497674354228,0.01163346536953453,0.07030530221465366,12,2.0825599660883087e-16
177.03404914963926,0.010491222840710255,0.04953411128498876,13,2.862286908977846e-32
361.1412648454125,0.010176481964086015,0.06388986415186933,14,1.6037451409127552e-05
324.81296603401444,0.009921559934281055,0.05119233947381959,15,2.309464743471092e-06
164.93557497534562,0.00983427191531471,0.04885401028017315,16,1.7591070542662894e-06
549.1607588747211,0.00964149973418019,0.06701790485514988,17,1.9994014490370637e-09
391.1244399730099,0.009364328380953324,0.046567045090128815,18,2.8766244666904454e-30
294.63253317531445,0.008767708379500505,0.04773146748856898,19,3.108116906431629e-05
113.05679169535806,0.007947583065345076,0.03870135177993524,20,1.296801463164204e-07
206.98434798871955,0.007786271266005767,0.06173843702183788,21,5.2056231692224574e-05
157.04526573124105,0.00771823507484182,0.04528687242631849,22,9.979199966217903e-20
172.0697295835568,0.007549600829013453,0.04329877778363408,23,1.2900648038770112e-15
915.1396026471044,0.007376707606940512,0.03308705371642321,24,4.279254565898437e-05
138.00989467983874,0.0073123491477274215,0.04491168520459811,25,1.2169393938793532e-25
438.367666572086,0.007120817695777406,0.03601259663777111,26,6.934169858118219e-14
190.6448325957197,0.007118443757835353,0.04210880471927045,27,1.5055156821321224e-08
208.62816241457463,0.007007986999867102,0.04195991732199166,28,1.3118944231637407e-08
131.00724522569595,0.0069711235956783635,0.038024182756972086,29,5.871409138569277e-16
445.6990789113999,0.006700471352785262,0.04050129469190605,30,0.004957639386886952
