component,explained_variance_ratio
PC1,0.37603837434685167
PC2,0.09739474168776177
PC3,0.052433254159767614
PC4,0.033450558015231016
PC5,0.026212262820436795
PC6,0.017135471252884525
PC7,0.015947145802595222
PC8,0.012438719334465017
PC9,0.009598676707805233
PC10,0.007454440578299888
