component,explained_variance_ratio
PC1,0.613889667862752
PC2,0.14221804277583217
PC3,0.020769580445562656
PC4,0.018554844331251204
PC5,0.010148383361992959
PC6,0.00749638518198007
PC7,0.0060750563732472045
PC8,0.004968627758781638
PC9,0.004024424580492957
PC10,0.003670667139378539
