component,explained_variance_ratio
PC1,0.4555504949704331
PC2,0.2540147363404862
PC3,0.03140118375240079
PC4,0.023015222664765113
PC5,0.015301554548167926
PC6,0.012552334696463472
PC7,0.009423921765716535
PC8,0.00817275062684936
PC9,0.0068489575392996225
PC10,0.0062241924368005505
