SPC1,SPC2,SPC3,SPC4,SPC5,SPC6,SPC7,SPC8,SPC9,SPC10,cluster
-15.26537039854611,-8.100036716822089,-3.1061822433029844,1.755282385572199,-1.5945003229255823,-0.5077439225621816,-1.1076151568062214,0.027475840794626574,-0.44149429908870375,-0.018791593754209315,1
-15.69270452339396,-8.567277384787253,-3.273541679828626,2.520163138603822,-1.0522169852944776,0.6760474291649402,0.1706355498051566,-0.419882055550245,-0.5185472813954596,-0.6589633110326332,1
-15.640980176598399,-8.790581963853594,-3.341980454102023,2.5164437048988773,-0.4350883448187939,0.13805901327706804,-0.018399165912431813,-0.5206738046052984,-0.3484382488264707,-0.8678581015916144,1
-15.466808082169926,-8.420466922690867,-2.8650221741493107,1.7673781822112988,-0.7507419421730395,-0.8699756013499187,-1.045107400157855,-0.014302595992802536,-0.020881987337730806,-0.004842743770099411,1
-14.784468870217808,-8.956940472483623,-3.1703828185105967,2.190162303398531,-0.7077338367397018,-0.7984790759113319,-0.025066615726462765,-0.1640007982715948,-0.4420230791756049,-0.19121681189172002,1
-15.627422166989216,-9.250357658192597,-3.534083356036466,2.8118276184568636,-0.17380819557279917,-0.2623971115432221,0.37304325648633246,-0.7895178943079997,-0.31674232085548143,-0.6631215282755656,1
-16.31413228720593,-8.981222694392812,-3.305298212108073,2.159486596923114,-0.5723749222642469,-1.3837938376789451,-0.9814213158456483,0.10284919117581891,-0.8596367181542559,0.20807309393500342,1
-15.212050832185504,-9.06342661912294,-2.835889596487698,1.6776377652050036,-0.6390051573205228,-1.4681242049434822,-1.3819426499611251,0.296048328693938,-0.7576947753513165,0.0972702201117483,1
-15.417603376220868,-9.231351030903232,-3.713125547411078,3.460444639366776,0.1972849869178131,1.4607208026674894,1.3511015093228513,-0.8077781454506439,-0.5912404492338877,-1.0653061522478058,1
-15.041043157440456,-8.744045280062398,-3.0946550854567465,2.073253120718911,0.11209514375276816,-0.5657295014336877,-0.46467026235866205,0.1481408766251462,-0.5420194581542214,-0.2816013175518892,1
-15.232267064333355,-9.202990830989503,-2.690938385299668,2.388342777192137,-0.2610989782487418,-0.9890490227195369,-0.7368829860030206,0.1356130564655303,-0.4349289511491349,-0.707975570654462,1
-15.53024705832893,-9.524552790339929,-2.851049701057822,2.3391705189002834,-0.3771857238758839,-1.2032624601910904,-1.1762127135802514,0.28184593854195483,-0.1490979189547214,-0.11969474737650934,1
-15.148666881353893,-9.565503775752802,-2.188767399992213,2.025148410684285,-0.736463590424018,-0.9412923043306762,-1.9106891007950757,0.49725427525374294,-0.12546880243092842,-0.10320250012663368,1
-15.102892857993176,-8.765628563769651,-2.4895135667872346,1.3913406143879863,-0.8183995822655793,-1.7121069351185598,-1.6354886798206973,0.08139169192699341,-0.1479299674624059,0.3922441291688996,1
-15.353315221899912,-8.747536118448139,-2.380610457272452,1.7186599153094249,-0.7745567778123457,-1.3150009230215587,-1.8830533512459113,0.4115837136249808,-0.08050067056079051,0.12063564982735667,1
-15.401737005802616,-8.15602860958329,-1.8317360129048212,1.5598257003697822,-0.49015572072635083,-0.13231763885240133,-2.2035140446503183,0.8163734031502008,-0.1858751148328825,0.11389390437852798,1
-14.524924079388295,-9.53513575740844,-1.9902996052091306,2.0300424983925485,-0.7639000409458461,-1.0204564444539226,-1.7150874899394573,0.2625828438670009,-0.5806135369922455,0.06328006766866054,1
