mz,p_value,adjusted_p_value,significant_after_fdr
102.96377112060765,2.568562445475294e-126,4.961496689550568e-126,True
104.048688641672,0.0,0.0,True
105.03497729718508,0.0,0.0,True
105.98838966418104,0.0,0.0,True
114.8321112752816,3.693628770056901e-297,8.431920222554137e-297,True
116.01565766189728,0.0,0.0,True
118.02111126144052,0.0,0.0,True
119.99368857246664,0.0,0.0,True
124.00459577155314,3.870089434117695e-149,7.74017886823539e-149,True
125.05663700410042,8.72733107260766e-112,1.577901457927465e-111,True
130.97436893717884,2.3719679648135312e-176,5.009951028484655e-176,True
132.05928645824324,0.0,0.0,True
133.04557511375629,0.0,0.0,True
133.99898748075225,0.0,0.0,True
135.9715647917784,1.0246559793126649e-07,1.0292100058873879e-07,True
136.99072973580857,2.061576429966089e-37,2.3531124907693743e-37,True
137.97701839132165,0.0,0.0,True
138.99618333535182,0.0,0.0,True
140.0482245678991,0.0,0.0,True
140.77150291527536,3.572918534780325e-21,3.773269106824082e-21,True
146.13033794356303,0.0,0.0,True
147.0508740220419,0.0,0.0,True
148.037162677555,0.0,0.0,True
149.05632762158515,0.0,0.0,True
154.0206471876676,1.7133847682686835e-284,3.83391047157151e-284,True
155.03981213169777,1.7368112830159744e-297,4.0052994894041854e-297,True
156.02610078721085,4.016998065613747e-36,4.5392078141435334e-36,True
157.07814201975813,0.0,0.0,True
158.0315543867541,0.0,0.0,True
158.98496675375006,0.0,0.0,True
160.00413169778022,0.0,0.0,True
162.1082141628748,0.0,0.0,True
163.12737910690498,0.0,0.0,True
169.0779873285005,0.0,0.0,True
170.09715227253065,0.0,0.0,True
171.08344092804373,0.0,0.0,True
172.0697295835568,0.0,0.0,True
173.088894527587,9.573471873053028e-05,9.573471873053028e-05,True
174.99571926157893,0.0,0.0,True
176.0148842056091,0.0,0.0,True
177.03404914963926,0.0,0.0,True
178.05321409366945,0.0,0.0,True
179.63127594249036,1.1101545031766785e-59,1.48458531194041e-59,True
182.09699758127303,0.0,0.0,True
183.1161625253032,0.0,0.0,True
184.10245118081627,0.0,0.0,True
185.05586354781224,0.0,0.0,True
186.0421522033253,0.0,0.0,True
187.0613171473555,6.3318408008998895e-164,1.3249963157438656e-163,True
191.00647176940777,0.0,0.0,True
192.025636713438,0.0,0.0,True
193.01192536895104,0.0,0.0,True
194.0310903129812,0.0,0.0,True
195.01737896849423,0.0,0.0,True
196.03654391252445,0.0,0.0,True
197.02283256803756,0.0,0.0,True
198.53514183982423,9.23429078450729e-23,9.890756954022026e-23,True
200.54059543936745,8.165900676850043e-25,8.830112693627319e-25,True
202.21728615373968,0.0,0.0,True
203.7295954255264,1.2390209752184615e-87,1.9719629605589598e-87,True
205.60354387100125,1.1618143375787957e-97,2.0043514526168536e-97,True
207.05010056575367,0.0,0.0,True
213.52672940362288,5.210629699844686e-72,7.500651669840122e-72,True
215.53218300316612,3.9114521756908014e-114,7.186895867529441e-114,True
217.0444922749529,0.0,0.0,True
218.65543041229083,1.851643482621446e-117,3.487261892270389e-117,True
220.5622551462828,1.9839336063233414e-35,2.2306915175575878e-35,True
222.56770874582605,9.560359546843153e-72,1.3674944668269321e-71,True
228.64982212149,3.383744907537863e-16,3.524084558080908e-16,True
230.4908942784477,6.698877946103578e-92,1.1131958939848592e-91,True
232.52922416650807,1.9638030309736006e-93,3.2875517407409904e-93,True
234.5018014775342,6.383282592523214e-118,1.2122872822775179e-117,True
236.54013136559456,1.0142418649759671e-84,1.569990832086086e-84,True
239.17023444696275,0.0,0.0,True
242.32635814460457,0.0,0.0,True
245.6468632848319,4.7681867052573923e-116,8.90586938337331e-116,True
247.68519317289227,4.5417940555684584e-113,8.277785939987675e-113,True
249.32900759874735,1.674665258614898e-08,1.689617626995388e-08,True
251.9919869686327,0.0,0.0,True
256.75904880361253,1.5703565861270866e-110,2.8166713370216e-110,True
258.205605498365,0.0,0.0,True
260.7370797141819,6.44153516705289e-146,1.2770060945210116e-145,True
262.6439044481739,1.2845690600519733e-115,2.379611537473328e-115,True
264.15621371996053,0.0,0.0,True
266.2602961850551,0.0,0.0,True
269.3177910171456,0.0,0.0,True
273.75608996695445,1.4657017117042221e-43,1.6987107017700216e-43,True
275.6629147009464,1.296435779284985e-12,1.3138766193650521e-12,True
277.1752239727331,0.0,0.0,True
279.67382190003286,2.658054520529734e-83,4.031680011004831e-83,True
282.8628218861918,3.594217597593486e-37,4.081875261588582e-37,True
285.2299146594232,1.6259098855259208e-14,1.6552055591390005e-14,True
289.2079455699926,3.660532587417209e-27,4.0355139744209234e-27,True
291.6407909202581,1.1442010877147324e-86,1.7833754884381347e-86,True
293.185976480562,1.2115511971741534e-55,1.5211698364519927e-55,True
295.6516981193446,4.3535251028226054e-97,7.453762676044763e-97,True
298.1502960466444,1.0083350704645686e-133,1.9645148786637284e-133,True
301.76668778352564,1.8553549372335271e-90,3.0166202576602673e-90,True
304.8570589041333,9.046561689943566e-49,1.0933277764316824e-48,True
308.1446877558435,0.0,0.0,True
310.4131516635236,0.0,0.0,True
313.1418836104431,0.0,0.0,True
