mz,importance,importance_std,rank
720.1503354521703,0.048345798630133684,0.10636735133778558,1
391.1244399730099,0.034178120963959696,0.10572357958260171,2
193.04480165746813,0.03222320850179484,0.10391016140894835,3
782.1221393069084,0.029682406220184573,0.09549224754094822,4
393.1298935725532,0.029641126936635995,0.09491051481734199,5
346.1496772816139,0.028512725261181253,0.08425172719036433,6
572.1741608366926,0.02693496461922342,0.06989203958261885,7
523.155614657693,0.02659318475588181,0.08444317764869022,8
368.1439142995554,0.02637516046510088,0.0796798226991336,9
504.18599618332496,0.02487583131749663,0.08327757437660482,10
197.02283256803756,0.02432520290942108,0.08450593226069254,11
699.142387089742,0.023873263525554266,0.07328764855012093,12
195.01737896849423,0.023687765117028053,0.08086651449892085,13
567.144088693576,0.0226312542615644,0.08422843890222524,14
544.1635630201215,0.02102852903421149,0.08129583267718354,15
341.05385256146303,0.01961592306791676,0.07509386851856499,16
361.1412648454125,0.018239418465092975,0.06879023238978142,17
375.14656375369816,0.018046048090935227,0.05870472532444623,18
562.1140165504594,0.015929722617959757,0.07010728870609474,19
138.99618333535182,0.01585942119757137,0.0456887461588746,20
194.0310903129812,0.014599101831011874,0.0678316640318654,21
396.15451211612657,0.014256708984790449,0.04588595913105618,22
748.1609332687417,0.013617945274131184,0.043176359880497936,23
955.084293195384,0.013429546175048037,0.054297817556596684,24
589.1383257115175,0.013129979995045272,0.05531422259622053,25
583.1219649128877,0.012619848318172238,0.06382368386368419,26
775.0537372757315,0.011861925203780543,0.056830803274254646,27
441.4909139812107,0.011482676408863482,0.029614246952400492,28
179.2367604802851,0.010804599688532418,0.05286513494367712,29
713.1476859980276,0.01070398970591531,0.04667093054205179,30
157.04526573124105,0.010547669978649938,0.02877544174880874,31
202.21728615373968,0.010410443276230747,0.054316204229895235,32
438.367666572086,0.010202690966455865,0.03632050173638152,33
169.0779873285005,0.009954096332076733,0.034542505818751665,34
107.89521439817298,0.009874431882046847,0.05075946776101245,35
387.1135327739234,0.009703289499938768,0.05347439878051518,36
115.0293690063842,0.009544317644195627,0.04728494498836521,37
117.03482260592745,0.0095222314858972,0.053833812186477585,38
625.926892562155,0.009215096814592642,0.03922236068852144,39
172.0697295835568,0.009195781000117906,0.036338054411267105,40
160.00413169778022,0.009068133912000358,0.05737186048257183,41
139.78521425976228,0.0075135924427552,0.02603024640764446,42
