mz,matrix_avg,sample_avg,ratio,rank
171.104159366079,88.39938270568848,12.197172714687696,7.24753061764809,1
301.16575459090984,41.98742969371654,6.847188946481411,6.132068213067306,2
550.1107492932404,130.5672147821497,23.746039126107874,5.498483940132041,3
169.0986595408225,342.2842812827781,65.26063159100782,5.244881530148969,4
552.1162491184969,129.80613289444534,26.749344331329983,4.8526846595472675,5
728.1070780463328,37.921629710020845,8.205582926841286,4.621442503658569,6
551.1299377290263,227.58751086764866,49.81302732557816,4.56883516385316,7
279.1710106057198,21.2710148217943,4.907545395162506,4.3343490695832045,8
727.1207666568624,53.48620735309742,12.438807926342514,4.299946398844705,9
537.1243159985466,91.84841490003798,21.75159937855912,4.222605119619468,10
572.1054932784303,67.86886673538773,16.073805515971106,4.222327230706516,11
536.1380046090762,32.33625182964184,7.737141741485087,4.179353682003993,12
685.531303067527,81.25562975141737,20.345885460035415,3.993713122342635,13
713.1151449263828,18.246629596992776,4.838643888721173,3.771021387987335,14
374.1199203654042,86.65408150566948,25.253142217747243,3.4314177916972195,15
573.1246817142164,39.30616298251682,11.585964159487517,3.392567285557949,16
341.04561177182995,31.492800016049987,9.3138417366741,3.381290009326971,17
376.1254201906607,120.82750377513744,35.89908632178289,3.365754289363511,18
375.1062317548746,626.7802821858724,190.45558483207057,3.2909524954872245,19
686.5504915033131,25.658355613991066,7.906342558477957,3.2452876182593897,20
373.1007319296181,32.360259263780385,9.999092888732875,3.2363194962423125,21
693.0601466738178,14.121859274616948,4.370281784525229,3.231338382204514,22
304.35482808353083,105.20248151143392,32.58912691713615,3.2281466691544836,23
517.0693177459817,14.037459282345242,4.39395661253622,3.1947195926106358,24
538.1435044343327,14.530822197949444,4.603174377212109,3.1566960110673175,25
553.1354375542828,22.996607378500478,7.4639693474696385,3.0810157846127204,26
749.1155106420525,24.233451816417553,7.992224470994333,3.0321285270870875,27
437.30960338414155,64.07968152646666,21.815947745404827,2.937286166585484,28
142.92853067354105,34.38750620524088,11.885423127307781,2.8932504828826313,29
306.1959426772089,7.117703714370728,2.5214666797336402,2.8228426608832984,30
511.11857236284357,19.150066685146754,6.850878536342326,2.7952716692851594,31
361.13348707071054,46.85868155585395,16.973926931723764,2.760627033542594,32
335.12774343500746,66.01167405305085,24.246462811345125,2.7225280060001538,33
571.0863048426443,12.295392590981942,4.6432321039862225,2.6480245469052264,34
266.25033140365747,10.844140746858384,4.124174020026462,2.6294091111507933,35
903.1115955846985,8.3764148067545,3.1926607107731932,2.623647033919325,36
310.404204605616,21.606651806301542,8.31228389796714,2.5993640338711628,37
396.11466435059424,20.084251858040137,7.743931456317699,2.5935472141945857,38
198.03046029862105,481.3941283953631,185.93223693771756,2.5890837238408984,39
210.16209038910705,12.122140743820756,4.727742758246321,2.5640440610083495,40
