component,explained_variance_ratio
PC1,0.11755272628019764
PC2,0.06421567718674226
PC3,0.03102774624604673
PC4,0.02626750439945996
PC5,0.019469403081914593
PC6,0.015584809606965852
PC7,0.015048489724171277
PC8,0.012652507386249732
PC9,0.010419204942439761
PC10,0.009238151058713775
