SPC1,SPC2,SPC3,SPC4,SPC5,SPC6,SPC7,SPC8,SPC9,SPC10,cluster
-14.36377453253953,10.767699244726622,-1.8272168963310982,-1.9358660171410413,-1.7358692320512534,1.7252551969267476,0.9655105538744353,1.076869527166176,-0.09482395995351942,0.1021820767478714,1
-13.895281468438707,10.210486753736316,-1.5416377226420312,-1.5123994781265426,-1.7890457494675411,1.3488416067367566,0.46685356348870005,0.6432064138207046,-0.24180898567299097,0.20672536524486315,1
-13.846778500707025,10.325755956836538,-1.5222686922345197,-1.619048391051658,-1.2620231883293813,0.928012180370978,0.2562493344767385,0.5053856243952697,-0.641286901604691,0.13500470579372514,1
-13.338943032724636,9.64695362187394,-1.4043947860378494,-1.467565745661827,-1.464968433294084,0.6975825049855319,-0.6562901023175498,-0.28352430126384953,-0.6671990686312821,0.21778063347796311,1
-13.44728381930719,10.418180178358758,-1.8819318692935205,-1.5574405156165714,-2.3114312113787685,1.4353360002157576,0.13240143580378508,0.13366116605297995,-0.37031208145215755,0.03922103585330218,1
-13.640394727916888,10.541973573283961,-1.5640326108247478,-1.3012521304749236,-2.543174535542448,1.402583079842609,-0.05333937469102676,-0.3178250620256523,-0.7374218346952001,0.4301649294862694,1
-13.502927686359563,10.849738169245342,-1.3598695823386668,-1.302761830448362,-1.9934057841552397,1.9106208618754028,-0.03129266234842393,0.023252579963931957,-0.48957942974744906,0.26717982202498014,1
-13.298305291762766,10.64625414914315,-1.5177838359707412,-1.4185841981228526,-1.8080142293845725,1.5990759631064342,-0.32588417218541577,0.34093221948577956,-0.49154027789180355,-0.03853747561494525,1
-13.455333369132713,10.306938974582788,-1.573742347028086,-1.4585881222629773,-2.0057059834669047,1.2312367023704511,-0.29733943772019533,-0.09394972809873142,-0.7638131389167278,0.17244064821371363,1
-12.941273632828144,10.12168161124908,-1.5851981104439727,-1.145300949496722,-2.4408697448146053,1.29454111782912,-0.7642312687034989,-0.5215695691942199,-0.8008222179505617,0.2275884614917983,1
-13.708415343885127,10.571604316330392,-1.658151110800786,-1.670991175370668,-1.9586788636513528,1.680844479753799,-0.15992124195538562,0.20785123133750028,-0.5907525194903478,0.2607619517388694,1
-13.779416749129743,10.446275902395946,-1.6793892082830841,-1.6059641003421152,-2.0653181072090274,1.931482470913552,0.39605596869707105,0.4784497107778735,-0.5793205457642321,0.3074383934071707,1
-13.62615067693584,11.41352658971258,-1.5666538343796008,-2.2980442590518986,-2.5409588102490748,1.1296145080068047,-0.10263522614839485,-0.1559538954655641,-0.7630178780582708,-0.2634314549232137,1
-13.375856164951923,11.096106010926789,-1.7255258230462749,-1.80965311016095,-2.2526596622575203,1.6003427794595253,-0.056143612845544894,0.2562061836112207,-0.8094584067864712,-0.1669254822417002,1
-13.582720436781266,11.001342901899434,-1.6928831867383616,-1.4716538881116539,-2.9918541111169406,1.8055042242761465,-0.07484941364747613,0.14298269532631463,-1.0550136276994602,0.0706247942117931,1
-12.989965286501416,10.195461845525301,-1.160913124244599,-0.8892397540589714,-1.6606035844475597,1.5323253512193724,0.1411364306644677,0.1150755860845336,-0.466249349690431,-0.16337154431534176,1
-12.97427292142369,11.648768022465838,-1.3636891128255395,-1.3459068182270735,-1.753453655575087,1.6523631662965832,-0.18478490798914055,0.11358964871985316,-0.5989613444377554,0.21456002542897326,1
