component,explained_variance_ratio
PC1,0.17955522
PC2,0.14461355
PC3,0.11295566
PC4,0.07370785
PC5,0.05667967
PC6,0.036382888
PC7,0.03256913
PC8,0.027763389
PC9,0.026050506
PC10,0.023352299
