mz,importance,importance_std,rank,adjusted_p_value
199.02828616758077,0.03946226236578157,0.0985439816371613,1,1.316107832407277e-97
749.1472219242548,0.030233451693674956,0.0882792287712544,2,1.1835681182612519e-88
184.0695748922992,0.02506012780635453,0.0750655971676182,3,1.129375193315751e-73
193.01192536895104,0.022208568363981867,0.09455177680629613,4,3.0622505645259997e-60
157.04526573124105,0.021356933515297362,0.07765715339959982,5,4.5560178884603393e-82
172.0697295835568,0.021221874891438616,0.07161894323035765,6,1.5146831392133002e-72
156.02610078721085,0.020684999083212512,0.07036039609404059,7,5.296133474557803e-70
177.03404914963926,0.019156270115476298,0.05525699976784383,8,1.383482349654362e-79
568.130377349089,0.017260405114106384,0.08476219745195801,9,1.8843347079959633e-50
194.0310903129812,0.01706647056698718,0.08166680755358985,10,1.2328549156260092e-68
195.01737896849423,0.016160152506678876,0.08019364898495286,11,3.479196232584714e-69
119.99368857246664,0.014596907816315379,0.07209575541490024,12,2.632892927175566e-43
375.14656375369816,0.014347242411715371,0.06498106744917445,13,1.1998077174915753e-60
361.1412648454125,0.014177268733809416,0.0700293897435373,14,1.480595500259577e-31
158.0315543867541,0.013585907656988933,0.05240078130305369,15,5.664951576279417e-53
109.96642057475044,0.012541856416398156,0.05630322915821514,16,1.0332648616909125e-55
112.00475046281078,0.012459005960978589,0.0538288226782712,17,1.9297708750762504e-41
140.77150291527536,0.01226078878918662,0.051109631058451434,18,3.893512637507747e-43
438.3347902835689,0.012057893077337335,0.05177230568798969,19,1.4060265392894022e-32
198.00912122355055,0.011717561817230288,0.04586258179367894,20,2.564183251231897e-64
176.0148842056091,0.011583445273219162,0.05400141368971303,21,1.716579819155946e-86
392.11072862852296,0.011533325937054983,0.062112270237611025,22,4.036881132050482e-50
138.99618333535182,0.010712068797386539,0.0450556760230363,23,1.0711081871576545e-73
137.97701839132165,0.010705833131901755,0.046241234871059786,24,1.72289818720709e-67
185.08873983632932,0.010606145203162174,0.05599963172022235,25,2.095947297950564e-53
369.1302029550684,0.00992562387025346,0.07023440872579312,26,1.6919974812436855e-63
347.1359659371269,0.00969418598894123,0.052910153244702635,27,8.000370766961267e-74
330.138924773785,0.009348658354185422,0.04925151407401301,28,1.8761930638963754e-40
173.088894527587,0.009270496923288091,0.053259850344202504,29,2.1915094141964413e-63
388.69159462274433,0.009103809441270767,0.05973528449607609,30,9.627384773094243e-07
202.21728615373968,0.008908915786994973,0.05755013368187468,31,2.6984599835723248e-17
102.04323504212876,0.008576357731612303,0.04447612078283906,32,2.598572329204734e-38
139.78521425976228,0.00840554995456244,0.03962656404168944,33,5.3774844250027965e-59
154.0206471876676,0.00830246708937626,0.041655098715813035,34,2.7115983403118857e-30
721.1037478191663,0.00784369007931096,0.04547826292897572,35,2.412434805797204e-35
220.5293788577657,0.007820649557929406,0.044043508598681155,36,2.4263519890040003e-14
549.1607588747211,0.007659301883654846,0.05127387770011726,37,7.394088562406683e-11
713.1476859980276,0.0074654610887914296,0.04928996751432338,38,5.000943674000206e-11
162.1082141628748,0.007423896512204206,0.05220179867243885,39,2.2385275974762207e-38
106.02126595269814,0.007352942838379894,0.0497934870991984,40,1.886311098726339e-76
188.14623466841988,0.007292339911436392,0.04921442909470838,41,2.6754413058971696e-13
728.1392735618263,0.0071907992058687,0.04849138950467272,42,1.0815357058333286e-29
161.02329664181042,0.007041081692913113,0.03634850702308187,43,1.1331494023326706e-09
147.0508740220419,0.006766116299144532,0.05015548412435558,44,1.1530919574791131e-24
395.1024708835793,0.0067565107851883565,0.04115050652230092,45,2.026644360770122e-08
552.6456454575339,0.006598167121906756,0.03189233379962469,47,8.263388025685703e-12
158.98496675375006,0.006557703250288487,0.042387465522906544,48,2.3447306331654014e-17
192.025636713438,0.006516414401412469,0.03878392834835678,49,4.8507611905754525e-65
155.03981213169777,0.006231247851836336,0.03173676229643543,50,4.552575994280562e-45
108.94725563072026,0.00592816574366,0.03408266270333799,51,1.471944416195853e-31
341.05385256146303,0.005394953216188761,0.036157909170597226,52,6.182635453562677e-31
1645.3219706119482,0.005298344141363094,0.03559839571459868,53,6.422725017209046e-05
134.06474005778648,0.005260802582003933,0.037932238431287825,54,8.440663029507982e-16
763.0867682555061,0.005251835406951505,0.04339656039220755,55,6.058977334265564e-16
1825.155268800498,0.0051851622623083635,0.03700610266824547,56,2.7197881931573374e-07
149.08920391010224,0.00509471482175824,0.02693976950223429,57,2.1775518460972372e-23
539.2978723195903,0.00488538556436776,0.03911295410597722,58,5.5958810011831014e-11
160.00413169778022,0.004856184823643473,0.025491959300402718,59,3.957260400087246e-21
398.1599657156698,0.004839479410191252,0.037112224683275005,60,2.954080418899417e-32
1523.2523113479472,0.0046404187766277485,0.04350698788993639,61,1.25441947346839e-05
197.02283256803756,0.004631233188792969,0.02929780360226029,62,2.1775518460972372e-23
254.72071891555217,0.00460424895544142,0.027478627633048907,63,0.032704469421066716
742.1116961815949,0.004563959104364156,0.030572319989880074,64,4.06261845939881e-30
135.9715647917784,0.004516527751417046,0.024258008277301284,65,1.9687446763709123e-36
544.1306867316043,0.00439798012387047,0.033745044963328974,66,2.247759868355914e-52
418.1158728455509,0.004382329115598868,0.03559015036516661,67,1.6141205970460144e-16
1739.4796609249297,0.004349850734476967,0.03083221191290493,68,0.0010192655474417565
617.3133049706742,0.004232988439196786,0.037715508139402824,69,2.676928561674659e-06
230.65527572103323,0.004139076901701652,0.03088658768387327,70,1.0563904620356934e-05
573.1604494922058,0.0040504126947407395,0.017993684591937432,71,4.609775541925191e-83
152.01519358812436,0.00396577037423523,0.02531209298006866,72,9.099831397453245e-06
488.1752436754961,0.0038856099396683587,0.03692656969061014,73,4.237500379316243e-05
163.09450281838787,0.0037607054417898482,0.037418546692393986,74,2.9122186487885445e-19
887.6221491582899,0.0037167824934465506,0.036981518874371316,75,0.013187270477708443
817.5299020398277,0.0036912524987222288,0.026222086453011738,76,0.0021905865622325175
643.7129646499075,0.0035719997359330512,0.025031880029189164,77,7.338839003195297e-05
118.02111126144052,0.0035418836440720626,0.02501889037096228,78,2.9959786120259605e-31
266.7534405128116,0.0034129651008043176,0.02682600693523324,79,4.303017275148626e-05
126.89770916105816,0.003262764740164176,0.02362492703800994,80,6.214294662837892e-26
534.1691713109224,0.003249496975400186,0.03233208667439145,81,7.601874240473743e-13
308.6378320836001,0.0032045556885551907,0.022697530147045418,82,1.00272829438568e-05
632.4363976885413,0.0031868366006724425,0.03170862381780639,83,4.836443630483665e-16
378.13830600875445,0.0031759164386499263,0.014084640958941822,84,5.544408110267598e-10
958.2732931815428,0.003114393702499562,0.028481923468563864,86,3.0168993476229437e-06
1073.6361895880552,0.0031088831763178525,0.02530200698442886,87,1.98914384227257e-05
1483.8665177044584,0.0030951585997504825,0.030796439226042385,88,2.16830832928484e-06
179.2367604802851,0.003088422534128861,0.01698957422349422,89,2.5705100792213355e-45
477.5890787729891,0.003030688007672659,0.027677970449228418,90,0.044052311883541556
380.8999142441911,0.0028191997985597995,0.021371283257128195,93,1.9088555141692607e-06
1444.0533323102477,0.0027795449995938557,0.012396226143222779,95,3.3098876443205425e-09
321.2952031626845,0.0027491054707190414,0.02009661378468085,96,0.020367175777403528
113.02391540684096,0.002655241631737203,0.023904955798799008,99,3.9452918203415336e-08
200.54059543936745,0.00263961084869011,0.026263796332970067,100,1.5108808488692446e-07
