mz,n_files_present,pct_files_present,mean_importance,files_present
361.1413,3,60.0,0.024455,rf_feature_importances_DHB_10_pra_OMP_pca10_kmeans4_smoothing.csv; rf_feature_importances_DHB_1_pra_OMP_pca10_kmeans4_smoothing.csv; rf_feature_importances_DHB_49_pra_OMP_pca10_kmeans4_smoothing.csv
158.985,2,40.0,0.022657,rf_feature_importances_DHB_10_pra_OMP_pca10_kmeans4_smoothing.csv; rf_feature_importances_DHB_1_pra_OMP_pca10_kmeans4_smoothing.csv
220.5623,2,40.0,0.018509,rf_feature_importances_DHB_1_pra_OMP_pca10_kmeans4_smoothing.csv; rf_feature_importances_DHB_21_pra_OMP_pca10_kmeans4_smoothing.csv
410.5872,2,40.0,0.018188,rf_feature_importances_DHB_1_pra_OMP_pca10_kmeans4_smoothing.csv; rf_feature_importances_DHB_21_pra_OMP_pca10_kmeans4_smoothing.csv
242.3264,2,40.0,0.018002,rf_feature_importances_DHB_1_pra_OMP_pca10_kmeans4_smoothing.csv; rf_feature_importances_DHB_49_pra_OMP_pca10_kmeans4_smoothing.csv
