mz,p_value,adjusted_p_value,significant_after_fdr
104.0158123531549,0.0,0.0,True
105.03497729718508,0.0,0.0,True
106.02126595269814,9.801081383986449e-107,1.2386642730682262e-106,True
109.99929686326752,0.0,0.0,True
131.00724522569595,7.473225992936167e-272,1.4387706117241592e-271,True
132.02641016972612,0.0,0.0,True
135.9715647917784,8.35159401287713e-208,1.4218416253328008e-207,True
136.99072973580857,0.0,0.0,True
137.97701839132165,0.0,0.0,True
138.99618333535182,0.0,0.0,True
139.78521425976228,0.0,0.0,True
141.03451322341218,0.0,0.0,True
146.13033794356303,0.0,0.0,True
154.0206471876676,0.0,0.0,True
155.00693584318068,3.851634782993017e-206,6.503580043414439e-206,True
156.05897707572797,0.0,0.0,True
157.07814201975813,0.0,0.0,True
158.0644306752712,0.0,0.0,True
158.98496675375006,0.0,0.0,True
160.00413169778022,0.0,0.0,True
162.1082141628748,0.0,0.0,True
163.09450281838787,0.0,0.0,True
169.0779873285005,0.0,0.0,True
170.06427598401356,0.0,0.0,True
171.08344092804373,0.0,0.0,True
172.0697295835568,0.0,0.0,True
174.99571926157893,0.0,0.0,True
176.0148842056091,0.0,0.0,True
177.03404914963926,0.0,0.0,True
178.05321409366945,0.0,0.0,True
179.2367604802851,0.0,0.0,True
180.3545542898666,0.0,0.0,True
183.0832862367861,0.0,0.0,True
184.5298429315386,1.591420713767923e-130,2.215085588082379e-130,True
185.9763996262911,0.0,0.0,True
191.99276042492085,0.0,0.0,True
193.01192536895104,0.0,0.0,True
194.52423464073772,0.0,0.0,True
196.56256452879808,5.580981787917891e-160,8.331030784862939e-160,True
198.00912122355055,0.0,0.0,True
199.02828616758077,0.0,0.0,True
200.54059543936745,4.027261737259398e-49,4.389502210981143e-49,True
202.21728615373968,0.0,0.0,True
203.7295954255264,1.4198774761783172e-108,1.8055232104489715e-108,True
205.60354387100125,4.396002923779772e-202,7.303037115311556e-202,True
213.4938531151058,2.615179208281057e-122,3.5442560322756433e-122,True
215.53218300316612,0.0,0.0,True
217.01161598643571,0.0,0.0,True
218.19516237305143,0.0,0.0,True
220.5622551462828,0.040994126960865254,0.040994126960865254,True
222.0745644180695,0.0,0.0,True
230.4908942784477,3.080614868338069e-234,5.470747093772778e-234,True
232.49634787799096,3.9340599848055156e-188,6.381231156456191e-188,True
234.0415334382948,0.0,0.0,True
237.0661519818682,0.0,0.0,True
242.32635814460457,0.0,0.0,True
245.6139869963148,3.3604733836665916e-209,5.768812641960983e-209,True
247.12629626810156,0.0,0.0,True
249.32900759874735,0.0,0.0,True
256.7261725150954,1.292293115041954e-111,1.663827385616516e-111,True
258.17272920984794,0.0,0.0,True
262.1178838319002,0.0,0.0,True
264.15621371996053,0.0,0.0,True
268.791770400872,4.456177993681117e-109,5.701693581977081e-109,True
270.3040796726587,3.4224400468853677e-162,5.222389997469524e-162,True
273.72321367843733,0.032845220348400345,0.03300544093546571,True
275.63003841242926,4.913994619549162e-25,5.086848701643856e-25,True
280.1998425163065,0.0,0.0,True
282.8628218861918,5.730856462281871e-118,7.5194677148411815e-118,True
285.2299146594232,2.8461753825257456e-90,3.4488948752959035e-90,True
288.386038357065,0.0,0.0,True
290.621625976228,1.2740620560838335e-82,1.482806686741637e-82,True
292.65995586428835,1.5005175651747776e-169,2.306765809149285e-169,True
296.2105950241354,7.554217493274719e-42,8.063050795930529e-42,True
301.7338114950086,3.237159902652773e-128,4.445699599643141e-128,True
304.8570589041333,4.833317243751471e-34,5.079915062310219e-34,True
308.1446877558435,0.0,0.0,True
310.4131516635236,0.0,0.0,True
313.1418836104431,0.0,0.0,True
316.1665021540165,0.0,0.0,True
318.7637289468676,5.643974949753821e-78,6.42352950082479e-78,True
326.48965674838666,3.345015207645996e-42,3.58892256653685e-42,True
330.138924773785,0.0,0.0,True
333.1635433173584,0.0,0.0,True
336.12240928389764,0.0,0.0,True
340.2319453485354,0.0,0.0,True
347.1359659371269,0.0,0.0,True
349.1414195366702,0.0,0.0,True
352.1331617917265,0.0,0.0,True
354.6646360075434,9.758648648292107e-105,1.2257814765537647e-104,True
357.13035764632605,0.0,0.0,True
361.1412648454125,0.0,0.0,True
367.58501739476463,2.125388108054185e-170,3.2919545132267826e-170,True
369.4589658402394,0.0,0.0,True
374.127398809668,0.0,0.0,True
377.1191410647243,0.0,0.0,True
383.0697492863199,0.0,0.0,True
391.0915636844928,4.297814687688078e-285,8.352356845884379e-285,True
393.5901616117926,1.129776280386766e-131,1.5832239031270325e-131,True
397.1408007716397,0.0,0.0,True
400.461305911867,4.148357985829121e-292,8.1386832864838e-292,True
406.576295576048,1.983741549760101e-61,2.2209280394053304e-61,True
409.0748935033478,0.0,0.0,True
412.62553266319486,2.1258215494229343e-21,2.1787026824931566e-21,True
415.3213883215973,0.0,0.0,True
