component,explained_variance_ratio
PC1,0.32642945868726475
PC2,0.16233061948673266
PC3,0.04529406607414856
PC4,0.03818361070518167
PC5,0.032096212559862974
PC6,0.024010712425002516
PC7,0.018764595057745005
PC8,0.01680389289018533
PC9,0.012865874817920413
PC10,0.009861671729011772
