component,explained_variance_ratio
PC1,0.538596300426741
PC2,0.13288933392169047
PC3,0.044765480948853464
PC4,0.02827762957843247
PC5,0.020454571152283534
PC6,0.012299313426887733
PC7,0.00667282745662407
PC8,0.006074394722350756
PC9,0.00431352445804202
PC10,0.003783302906424573
