component,explained_variance_ratio
PC1,0.2963382
PC2,0.16774236
PC3,0.09516628
PC4,0.074417576
PC5,0.051078632
PC6,0.046292115
PC7,0.032864604
PC8,0.02700424
PC9,0.021821754
PC10,0.017790195
