mz,importance,importance_std,rank,adjusted_p_value
138.99618333535182,0.03818240722137009,0.10187417348163001,1,1.4558483937811908e-67
157.04526573124105,0.035285592410289064,0.1031422687862717,2,5.174939189943654e-70
572.1412845481756,0.03413924144098835,0.10765428724508833,3,7.02815238718294e-91
198.00912122355055,0.02850704522684224,0.08870375123285669,4,1.0781484807929742e-62
173.088894527587,0.027346025621091664,0.0868614717705117,5,4.116065116533297e-58
550.1470475302341,0.027104338356240442,0.09435391124828302,6,2.601223648473997e-81
137.97701839132165,0.026386468430914675,0.08276368871662505,7,2.1720492918921994e-62
199.02828616758077,0.02334524432266465,0.07906488989050338,8,8.46137707499888e-87
172.0697295835568,0.023108427874085274,0.09184285404318983,9,1.453079724141444e-76
158.0315543867541,0.022135504054369672,0.06725825034984925,10,1.2729106190223072e-47
346.1168009930968,0.022079774956418777,0.09450402186835338,11,1.3605567677660508e-61
545.1498516756345,0.021087517912485282,0.0809403995944562,12,7.233596053976056e-62
177.03404914963926,0.018879866248188104,0.07843018952189135,13,8.12182744048025e-66
567.144088693576,0.017909023242174058,0.0844781943225344,14,5.469821158411085e-55
1101.1207667883527,0.01596390821971626,0.06893205492454726,15,2.269308023143433e-40
562.1140165504594,0.015601322046629132,0.07519079870320153,16,2.60329788836858e-34
106.02126595269814,0.014787472522198485,0.06714172918739304,17,3.479244935388458e-62
375.14656375369816,0.013906175311435523,0.07174010633304476,18,3.1624033507436006e-60
185.08873983632932,0.013850474035091017,0.054098368564382056,19,1.0781112758971184e-37
184.0695748922992,0.013489498767637245,0.07205383602194392,20,3.799434839759058e-65
396.1216358276095,0.012863656894136814,0.06235936190501822,21,7.711217905531518e-58
368.2096668765896,0.012025133007513473,0.06376531195256119,22,4.937966777962796e-42
195.01737896849423,0.011999512766936376,0.06162885086006799,23,1.167578342212359e-43
155.03981213169777,0.011770680581573923,0.04535533230074297,24,6.557290454709995e-32
330.138924773785,0.011425427439000551,0.04797023589020392,25,2.8956120405655155e-37
141.79066785930553,0.01137020736535503,0.043501375332634096,26,1.8089701316085374e-31
176.0148842056091,0.011308822551607131,0.05727179434274386,27,2.601223648473997e-81
109.96642057475044,0.011283414464275254,0.0501588753508025,28,1.0088756968833861e-48
553.1716660738075,0.010750597676810233,0.05984523793707217,29,1.4152295785430457e-27
139.78521425976228,0.010712499875159162,0.054557315328333966,30,1.683124271558914e-58
135.9715647917784,0.010622287032283939,0.04502366521087342,31,4.889565049859088e-31
438.3347902835689,0.010184039328604922,0.0479014479800903,32,4.555885591027536e-38
180.3545542898666,0.009941793900390475,0.04361255110322369,33,5.669486995062303e-31
194.0310903129812,0.009176937983865163,0.04779087063353636,34,5.9839817003092984e-46
140.77150291527536,0.00902196437246543,0.03396953696912436,35,1.0207888901753282e-38
179.2367604802851,0.008660260352336073,0.03597000175486217,36,1.141100986958015e-39
156.02610078721085,0.008254988910990873,0.040165516186344945,37,4.375894809175024e-54
333.1635433173584,0.007677064236977103,0.03600165413763358,38,1.2648804463014643e-12
160.00413169778022,0.007353993584490902,0.03413853780442226,39,1.7307530524837826e-20
484.1972127649268,0.00694716489059884,0.033079404753479646,40,4.710740862587483e-18
119.99368857246664,0.006784256925310281,0.03941035520890443,41,2.3300096628281173e-33
830.3845308500147,0.0061853415629979855,0.02995960895587923,42,0.04021490561298158
149.08920391010224,0.005991154634845663,0.03278345958911754,43,4.2310138079039783e-23
654.1018718213118,0.005937452902194745,0.03384166116070534,44,3.15337901413054e-14
158.98496675375006,0.005836362581522718,0.027266597277689236,45,7.318487393883452e-18
107.00755460821122,0.0055640651455973545,0.042515572105575654,46,3.0726383689398563e-22
150.07549256561532,0.0053933145872098265,0.027566706434379883,47,2.0182016951186393e-20
154.0206471876676,0.005320345053954497,0.025622608586265975,48,2.731197144397041e-19
728.1392735618263,0.0053056101133261745,0.03753904084251955,49,7.055386623698447e-31
700.8848303811485,0.005281106814418271,0.023467672885861747,50,0.0033529772071056625
