mz,p_value,adjusted_p_value,significant_after_fdr
104.0158123531549,0.0,0.0,True
105.03497729718508,0.0,0.0,True
105.98838966418104,0.0,0.0,True
109.96642057475044,0.0,0.0,True
131.04012151421304,0.0,0.0,True
132.05928645824324,0.0,0.0,True
133.04557511375629,0.0,0.0,True
133.99898748075225,0.0,0.0,True
135.9715647917784,0.0,0.0,True
136.99072973580857,0.0,0.0,True
138.00989467983874,0.0,0.0,True
138.99618333535182,0.0,0.0,True
139.78521425976228,0.0,0.0,True
146.13033794356303,0.0,0.0,True
147.0508740220419,0.0,0.0,True
148.037162677555,0.0,0.0,True
154.0206471876676,0.0,0.0,True
155.03981213169777,0.0,0.0,True
156.05897707572797,0.0,0.0,True
157.07814201975813,0.0,0.0,True
158.0644306752712,0.0,0.0,True
158.98496675375006,0.0,0.0,True
160.00413169778022,0.0,0.0,True
162.1082141628748,0.0,0.0,True
163.12737910690498,0.0,0.0,True
169.0779873285005,0.0,0.0,True
170.03139969549648,0.0,0.0,True
171.11631721656084,0.0,0.0,True
172.0697295835568,0.0,0.0,True
173.088894527587,0.0,0.0,True
174.99571926157893,0.0,0.0,True
176.0148842056091,0.0,0.0,True
177.03404914963926,0.0,0.0,True
178.05321409366945,0.0,0.0,True
179.63127594249036,0.0,0.0,True
183.1161625253032,0.0,0.0,True
184.10245118081627,0.0,0.0,True
185.5161315870517,0.0,0.0,True
187.0613171473555,0.0,0.0,True
191.00647176940777,0.0,0.0,True
192.025636713438,0.0,0.0,True
193.01192536895104,0.0,0.0,True
194.52423464073772,0.0,0.0,True
196.56256452879808,0.0,0.0,True
198.53514183982423,0.0,0.0,True
200.54059543936745,0.0,0.0,True
202.21728615373968,0.0,0.0,True
203.7295954255264,0.0,0.0,True
205.60354387100125,0.0,0.0,True
207.08297685427084,0.0,0.0,True
213.52672940362288,0.0,0.0,True
215.53218300316612,0.0,0.0,True
217.0444922749529,0.0,0.0,True
218.65543041229083,0.0,0.0,True
220.5622551462828,0.0,0.0,True
222.56770874582605,0.0,0.0,True
228.32105923631897,1.3291982098519468e-35,1.3291982098519468e-35,True
230.4908942784477,0.0,0.0,True
232.52922416650807,0.0,0.0,True
234.5018014775342,0.0,0.0,True
236.54013136559456,0.0,0.0,True
238.11819321441547,0.0,0.0,True
242.32635814460457,0.0,0.0,True
245.6468632848319,0.0,0.0,True
247.71806946140936,0.0,0.0,True
251.9919869686327,0.0,0.0,True
254.0960694337272,0.0,0.0,True
256.75904880361253,0.0,0.0,True
258.6987498261216,0.0,0.0,True
260.27681167494245,0.0,0.0,True
262.6439044481739,0.0,0.0,True
264.71511062475133,0.0,0.0,True
266.2602961850551,0.0,0.0,True
269.3177910171456,0.0,0.0,True
273.75608996695445,0.0,0.0,True
275.6629147009464,0.0,0.0,True
277.2409765497673,0.0,0.0,True
279.67382190003286,0.0,0.0,True
281.7779043651274,0.0,0.0,True
284.3093785809443,0.0,0.0,True
286.6435950656586,0.0,0.0,True
289.2079455699926,0.0,0.0,True
291.6407909202581,0.0,0.0,True
294.172265136075,0.0,0.0,True
296.6708630633748,0.0,0.0,True
298.18317233516154,0.0,0.0,True
301.7995640720428,0.0,0.0,True
304.8570589041333,0.0,0.0,True
308.1775640443606,2.0521e-319,2.0613e-319,True
310.4460279520407,0.0,0.0,True
313.1418836104431,0.0,0.0,True
316.1665021540165,0.0,0.0,True
319.3226258516584,0.0,0.0,True
326.48965674838666,0.0,0.0,True
330.138924773785,0.0,0.0,True
333.1964196058755,0.0,0.0,True
336.15528557241475,0.0,0.0,True
338.9497700963684,0.0,0.0,True
341.05385256146303,0.0,0.0,True
346.1496772816139,0.0,0.0,True
348.6482752089137,0.0,0.0,True
352.1331617917265,0.0,0.0,True
354.6646360075434,0.0,0.0,True
357.13035764632605,0.0,0.0,True
361.1412648454125,0.0,0.0,True
367.6178936832817,0.0,0.0,True
369.984986456513,0.0,0.0,True
374.127398809668,0.0,0.0,True
377.1520173532414,0.0,0.0,True
384.1217905188671,0.0,0.0,True
386.1601204069274,0.0,0.0,True
390.10527502897975,0.0,0.0,True
393.1298935725532,0.0,0.0,True
396.1216358276095,0.0,0.0,True
398.1599657156698,0.0,0.0,True
400.4941822003841,0.0,0.0,True
406.576295576048,0.0,0.0,True
410.5872027751345,0.0,0.0,True
413.11867699095137,0.0,0.0,True
415.3542646101144,0.0,0.0,True
423.57333673939,0.0,0.0,True
427.8801305351304,0.0,0.0,True
430.0828418657762,0.0,0.0,True
438.367666572086,0.0,0.0,True
445.5675737573314,0.0,0.0,True
454.3126665028807,0.0,0.0,True
460.03314070485646,0.0,0.0,True
469.5343880862991,0.0,0.0,True
472.2302437447015,0.0,0.0,True
484.1972127649268,0.0,0.0,True
496.492944670323,0.0,0.0,True
501.6873982560252,0.0,0.0,True
