mz,p_value,adjusted_p_value,significant_after_fdr
100.92544123254729,0.0,0.0,True
102.04323504212876,0.0,0.0,True
103.02952369764184,0.0,0.0,True
104.0158123531549,0.0,0.0,True
105.03497729718508,0.0,0.0,True
105.95551337566394,0.0,0.0,True
107.00755460821122,0.0,0.0,True
107.89521439817298,0.0,0.0,True
108.94725563072026,2.0837293459586065e-210,2.107888526781315e-210,True
109.96642057475044,0.0,0.0,True
110.95270923026352,0.0,0.0,True
111.97187417429367,0.0,0.0,True
112.82665767573832,0.0,0.0,True
114.01020406235402,0.0,0.0,True
114.8321112752816,0.0,0.0,True
116.01565766189728,0.0,0.0,True
116.90331745185904,0.0,0.0,True
118.02111126144052,0.0,0.0,True
119.0073999169536,0.0,0.0,True
119.99368857246664,0.0,0.0,True
121.04572980501392,0.0,0.0,True
122.032018460527,0.0,0.0,True
122.98543082752298,0.0,0.0,True
124.00459577155314,0.0,0.0,True
125.05663700410042,0.0,0.0,True
125.97717308257928,0.0,0.0,True
126.99633802660946,0.0,0.0,True
127.98262668212251,0.0,0.0,True
129.0017916261527,0.0,0.0,True
129.9880802816658,0.0,0.0,True
130.97436893717884,0.0,0.0,True
132.02641016972612,0.0,0.0,True
133.04557511375629,0.0,0.0,True
133.99898748075225,0.0,0.0,True
135.01815242478244,1.2394e-319,1.2874e-319,True
135.9715647917784,2.5803921133421222e-295,2.648696610460002e-295,True
136.99072973580857,5.4961133132170786e-306,5.674980906250771e-306,True
137.97701839132165,0.0,0.0,True
138.99618333535182,0.0,0.0,True
140.0482245678991,0.0,0.0,True
140.77150291527536,0.0,0.0,True
141.98792559040814,0.0,0.0,True
142.908461668887,0.0,0.0,True
144.0591317669856,0.0,0.0,True
145.07829671101575,0.0,0.0,True
146.13033794356303,0.0,0.0,True
147.0508740220419,0.0,0.0,True
148.037162677555,0.0,0.0,True
149.05632762158515,8.29300934363879e-274,8.487566747595125e-274,True
150.07549256561532,0.0,0.0,True
151.09465750964551,0.0,0.0,True
152.01519358812436,0.0,0.0,True
153.00148224363744,1.2311095293305198e-237,1.249003563187068e-237,True
154.0206471876676,0.0,0.0,True
155.00693584318068,0.0,0.0,True
156.02610078721085,1.6482166153193744e-259,1.677048392846827e-259,True
157.04526573124105,1.2678863658655415e-194,1.275194068262461e-194,True
158.0315543867541,5.261829618699266e-260,5.369527885748666e-260,True
158.98496675375006,0.0,0.0,True
160.00413169778022,0.0,0.0,True
161.02329664181042,0.0,0.0,True
162.1082141628748,0.0,0.0,True
163.09450281838787,0.0,0.0,True
164.50818322462328,0.0,0.0,True
166.08624507344416,0.0,0.0,True
167.07253372895724,0.0,0.0,True
168.05882238447032,0.0,0.0,True
169.0779873285005,0.0,0.0,True
170.06427598401356,0.0,0.0,True
171.08344092804373,0.0,0.0,True
172.0697295835568,0.0,0.0,True
173.05601823906989,8.740205374460213e-137,8.740205374460213e-137,True
174.07518318310005,0.0,0.0,True
174.99571926157893,0.0,0.0,True
176.0148842056091,0.0,0.0,True
177.03404914963926,0.0,0.0,True
178.02033780515234,0.0,0.0,True
179.2367604802851,0.0,0.0,True
180.3545542898666,0.0,0.0,True
182.06412129275597,0.0,0.0,True
183.0832862367861,0.0,0.0,True
184.10245118081627,0.0,0.0,True
185.5161315870517,0.0,0.0,True
187.0613171473555,0.0,0.0,True
