mz,p_value,adjusted_p_value,significant_after_fdr
104.02529164345404,0.0,0.0,True
105.04445149224036,0.0,0.0,True
106.03073521687227,0.0,0.0,True
109.97587011539991,0.0,0.0,True
118.03052053322722,0.0,0.0,True
124.0139751293275,0.0,0.0,True
125.03313497811382,0.0,0.0,True
131.0165895742141,0.0,0.0,True
132.0357494230004,0.0,0.0,True
133.02203314763233,0.0,0.0,True
135.98088432152807,0.0,0.0,True
137.00004417031437,0.0,0.0,True
137.98632789494627,0.0,0.0,True
139.0054877437326,0.0,0.0,True
140.0246475925189,0.0,0.0,True
141.0438074413052,0.0,0.0,True
146.13960668523677,0.0,0.0,True
147.0601381615599,0.0,0.0,True
148.0464218861918,0.0,0.0,True
153.99700035813768,6.4867605613853685e-127,7.103002814716979e-127,True
155.01616020692398,1.0313162381116049e-221,1.2547680897024526e-221,True
156.0681961798647,0.0,0.0,True
157.05447990449662,0.0,0.0,True
158.07363975328292,0.0,0.0,True
158.99417122960605,0.0,0.0,True
160.01333107839235,0.0,0.0,True
162.11740302427378,0.0,0.0,True
163.1036867489057,0.0,0.0,True
169.087141345006,0.0,0.0,True
170.0405489454835,0.0,0.0,True
171.0925849184242,0.0,0.0,True
172.07886864305613,0.0,0.0,True
173.06515236768803,0.0,0.0,True
175.00484369279746,0.0,0.0,True
176.02400354158377,0.0,0.0,True
177.04316339037007,0.0,0.0,True
178.0623232391564,0.0,0.0,True
179.2129875845603,0.0,0.0,True
180.3636519299642,0.0,0.0,True
181.4485640270593,0.0,0.0,True
183.09237023477917,0.0,0.0,True
184.07865395941107,0.0,0.0,True
185.52520342220453,0.0,0.0,True
190.94976390768005,0.0,0.0,True
192.0017998806208,0.0,0.0,True
193.02095972940708,0.0,0.0,True
194.53326144050936,0.0,0.0,True
196.5058288897732,0.0,0.0,True
198.01813060087545,0.0,0.0,True
199.03729044966175,0.0,0.0,True
200.54959216076404,2.6527773109509715e-81,2.779704455015611e-81,True
203.70570007958617,5.3343606142698984e-301,7.080151360758229e-301,True
205.6125152805412,0.0,0.0,True
213.5027850775965,1.6243623611770677e-201,1.9439090551791136e-201,True
215.50822865101472,0.0,0.0,True
217.020530362117,0.0,0.0,True
218.69721269399125,0.0,0.0,True
220.5711517707919,5.795929176136809e-262,7.422856664175212e-262,True
222.5765953442101,4.035403079841562e-258,5.138100433054082e-258,True
224.0888970553124,0.0,0.0,True
228.3299170712296,1.27840202538385e-152,1.4357438131234007e-152,True
230.49974126541983,0.0,0.0,True
232.50518483883803,0.0,0.0,True
234.51062841225627,0.0,0.0,True
