SPC1,SPC2,SPC3,SPC4,SPC5,SPC6,SPC7,SPC8,SPC9,SPC10,cluster
-12.640648568978623,10.383899776954422,-2.111961736772991,-5.007114841008074,-0.7305542830971117,-1.8760669310597753,-1.5718427331295362,-1.968542382091518,-0.2118960862723106,0.2541328447973763,3
-12.613665530145923,8.66795976514537,-4.568979168862517,-5.596153212046284,-1.33788702151718,-2.862892649683026,-0.07713674357751166,0.01773742436635419,-0.35401733825100684,-0.40949991477120146,3
-11.202009351871377,8.55795653070713,-1.749236484253233,-3.6810717429032316,-0.7800976163635711,-1.2221043322492384,0.06881472693626697,-0.7498456228544605,-0.17830131079516578,0.8765822014012973,3
-4.88124233927852,-6.4373008200869695,-0.5325135730097412,0.4981958326261492,-0.1137796060653723,0.07187183436416109,0.047442164611380025,-0.017383578344112485,-0.003927760374043769,8.858448750805167e-05,1
-4.854444117971855,-6.49054139648304,-0.5159183700467298,0.5231759571219841,-0.10878532325707958,0.0774246970192792,0.05011196561454656,-0.01744159331356908,-0.004790031842052013,-0.001014203478233845,1
-4.854445449520788,-6.490540750020085,-0.5159176745464193,0.5231727669584103,-0.10878426156149118,0.07742374504691518,0.05011096737262459,-0.01743944906980016,-0.0047878133504731975,-0.001014754705469332,1
-4.854443364584258,-6.490540733138728,-0.5159183185673702,0.5231733263562116,-0.10878602300714049,0.07742590379619811,0.050111466125422346,-0.017439475574229035,-0.004788722749673034,-0.001014917357376733,1
-4.854444053861325,-6.490537240342121,-0.5159186869962947,0.5231732295886659,-0.10878561866999462,0.07742650204438983,0.05011040433205687,-0.01743851166724139,-0.004788680508063994,-0.0010147980456759577,1
-4.85444392907409,-6.490540972036503,-0.5159183717973086,0.5231738284576526,-0.10878451596858088,0.07742531711840221,0.05011155897067261,-0.01744010445182203,-0.0047883357551427395,-0.0010146003784480143,1
-4.854443551661531,-6.490541262413732,-0.515920355273942,0.5231734257066856,-0.10878583105883433,0.07742497184954104,0.050113053417981966,-0.017439324162715188,-0.004788938502183331,-0.001015451603144926,1
-4.854442789358875,-6.490542083762078,-0.5159195826854157,0.5231740406217925,-0.10878391213123889,0.07742362625060156,0.050112423470635825,-0.017438962149039346,-0.004789552447696521,-0.0010146733278553846,1
-4.854443595540211,-6.490540283395708,-0.5159187460928302,0.5231732285094147,-0.10878629512580329,0.07742377290761601,0.05011149787394892,-0.017440744474727383,-0.0047882304845943335,-0.0010145458489328888,1
