mz,importance,importance_std,rank
361.1468863544352,0.03475653367301557,0.09260016764731603,1
333.16977290437546,0.03433366264991313,0.09344327400929764,2
374.132738073323,0.03223056694383868,0.09838145463894328,3
199.530564708732,0.029468098909535886,0.08547740030420965,4
314.1348155746639,0.02661091832747371,0.08145523524520583,5
797.603006404955,0.02649925542826785,0.07480374068852082,6
1568.3050870274571,0.023619163927538683,0.07169620666402371,7
827.1252718316924,0.02306090457158981,0.07218476935071086,8
158.9949820014187,0.023000416411855237,0.08099886023626235,9
747.5663828197719,0.022599039811853638,0.07433489458741525,10
377.12441530476303,0.021818058941662305,0.07425084128878917,11
390.0773914496791,0.021310881018899698,0.06926221131405216,12
190.9829154760463,0.019621619536659793,0.07570826323509429,13
353.12524630529936,0.01931061763529566,0.07191572247428119,14
775.674998565719,0.01763082637615663,0.06903755797718177,15
551.1348283378604,0.016344673857058935,0.06133091733493729,16
217.02037006176576,0.014739040687555063,0.05504055029858007,17
194.00746828145816,0.01341134275129034,0.05751756564869389,18
102.90925280541184,0.011722070297045332,0.06421567520819364,19
761.1768704441253,0.01164210114624467,0.059294752516634165,20
339.1202517932836,0.011446769673096683,0.05492550943094631,21
299.669563027042,0.011285814778947417,0.06320222165217472,22
789.6799930777348,0.010426514819627797,0.043944886566778446,23
672.0183138324192,0.01001163153716918,0.056553908085320626,24
396.12649706050274,0.0100028068429699,0.0451671302715473,25
1593.3562743940206,0.009815433852965202,0.04482694745192921,26
179.21345999411753,0.009783571270058175,0.0506940292279493,27
104.02702232045536,0.009389117786023264,0.049727976050800295,28
393.10194425509087,0.009299990827582578,0.037731160490287595,29
196.0128782937421,0.009299073109590283,0.04943506092611191,30
181.44899902420457,0.009296259710507444,0.04958512707895818,31
105.0132895396114,0.009152380964564439,0.04907173810992371,32
336.1285745618436,0.008634422653534438,0.0473286576515282,33
843.1356763559921,0.008463952089427023,0.05057142428046509,34
178.0299393311303,0.008423288930632902,0.04367867814295337,35
782.644620247755,0.007825481930784573,0.04707564113022739,36
851.1901919790998,0.007755741559518942,0.05010511020030936,37
892.1860327220193,0.0076316456563341436,0.051373391795496215,38
425.18850445163406,0.0074146588141350955,0.051033655829218864,39
215.50809365905985,0.00737978082940282,0.038039526495327415,40
192.0020582691742,0.007316458749349795,0.038884647118420504,41
650.7478174726206,0.007304552089264948,0.05077569603940577,42
644.0740759563313,0.007235000446999937,0.049248839882408565,43
482.1289985709095,0.007194224846401418,0.04980341544990454,44
122.99622850222322,0.007092580186341568,0.046909011893218576,45
260.7120078703784,0.007014725600905469,0.04690883031127907,46
148.04741586878663,0.006905082674666997,0.046512643361518044,47
468.2226307808093,0.006383331973764743,0.04317550368641898,48
321.2359395525874,0.006369747163674756,0.040149390846664516,49
1166.5984486652017,0.006309130498919966,0.035798945973693846,50
