PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster
-18.13297739573284,5.140979359910354,-2.1712952662238574,-0.8338393445485269,-0.6118947216640985,-0.2188666012484495,0.5671704833386946,-0.2639298230985427,0.18793209476221545,-0.1378038802690947,1
-17.531075049891772,4.589615780605122,-1.7654909123605091,-0.7639155946067673,-0.5203829320138808,-0.2509752459734488,-0.14323652446787316,-0.1456660029690661,0.044581674814130154,0.5069062804903272,1
-17.537714749560692,5.2373316612220595,-1.8938239317250536,-1.144472991230092,-0.34021714982041823,-0.23167825431618452,-0.0816827992878811,-0.2792441207576628,0.17154030702638917,0.007608144636939778,1
-17.015827923981004,4.6966297462024755,-1.487839685681897,-1.3439340551322683,-0.27039317663606516,-0.24858041333534095,-0.29628068849793465,-0.2925232052243601,0.14249794735271473,0.3930021189645522,1
-17.528679049419342,4.984733561700111,-1.536693201702918,-1.5914517178835266,0.11704810695668735,0.09862578531102245,-0.44072636019334893,-0.09800161736150304,0.04560466499077755,0.21378117730249535,1
-17.327502559605605,4.25453489780048,-1.5351176862121902,-2.063771327008045,0.6720648011491295,0.42635313816481274,-0.5173043212700894,-0.30627164872465423,0.31965563457752677,-0.00836136529771218,1
-18.67907735932803,4.55235070989717,-1.79294449790079,-2.006806964148821,0.6908851498108821,0.39153183755427545,-0.29702960812483054,-0.45904369169453346,0.2688861044294785,-0.502383240523643,1
-18.34026384923655,4.203027554621501,-1.7521730695351307,-2.943987697714004,1.0388928408562694,0.687634415569282,-0.9179877843130032,-0.09070938767298464,0.22075890388042202,-0.17619140193874805,1
-19.69632168164784,4.761791647218483,-2.292530268714435,-3.351979173740988,1.0863162189217874,0.8755692867945019,0.0042181274009114615,-0.22176325518893292,-0.004737499361935056,-1.0674013272162044,1
-19.59805090006043,4.338311691349155,-2.2971330849325127,-3.579018110555741,1.663391501504752,1.1766100135927544,-0.12016721512535251,-0.1340388339222373,0.07146098782482475,-1.2467750939402429,1
-20.432829891097313,4.7264349733520605,-2.5319780264931016,-3.9562232396843964,1.8663697444584826,1.5061346299661433,0.2492579623142411,-0.22985684206257004,-0.044483898997167655,-1.6517107810607339,1
-19.438822226756535,4.192035806912777,-2.2553354991526118,-4.151816920142463,1.5086983858683343,0.734110698175699,-0.06684088573480178,-0.2422918456475084,0.019353250902890078,-0.8254268017042538,1
