component,explained_variance_ratio
PC1,0.4013523293586513
PC2,0.188879917789783
PC3,0.037726903409322124
PC4,0.020351613664186894
PC5,0.010722042893416127
PC6,0.009017249464285153
PC7,0.008130593162878376
PC8,0.00685714787439068
PC9,0.005924081086140349
PC10,0.005423178721213331
