mz,matrix_avg,sample_avg,ratio,rank
171.11631721656084,55.104434783401324,4.6749185861889035,11.78725014258193,1
301.20779087873495,38.4083697947162,3.934691809350442,9.761468406160983,2
169.0779873285005,627.1103869548773,72.60346758466926,8.637471567248651,3
279.1806775722763,29.452407037664035,3.6535310339558675,8.061354004077812,4
685.5973562206959,95.83279009094906,12.065819722637931,7.9425014036306845,5
551.1662124742643,613.384879615166,96.93462076489553,6.327820491468544,6
335.13612062838456,219.03958425375774,36.114131039734445,6.0652043380663105,7
437.3485016280558,207.6288843968765,34.56728535317251,6.006514028207143,8
274.3807394487794,235.16859921845617,39.31364574475203,5.981856802071503,9
572.1741608366926,72.04772420837268,12.372724786474247,5.823108930808152,10
686.5836448762088,53.931192569190095,9.398723573666643,5.738140093252285,11
313.1418836104431,517.9843099581595,93.29665889549916,5.552013502785749,12
536.1746249104656,31.185557859992564,5.665098549510748,5.504857079173136,13
179.2367604802851,381.2603363771668,70.29547843520967,5.423682217671301,14
538.1800785100088,21.476017542949652,3.9876689784609143,5.385606893040795,15
377.1520173532414,60.18212251224977,11.190092070690865,5.378161513478595,16
361.14126484541254,120.79218821452535,22.626249040410993,5.338586523707451,17
573.1604494922058,100.6350985262013,18.931479102494528,5.315754673792248,18
728.1721498503434,34.837614837830124,6.63137203883323,5.253455035936461,19
220.03623453000915,51.441772373291286,9.930769124664078,5.180039100934323,20
537.1609135659787,82.68082065707485,16.018350596772123,5.161631352267587,21
325.2403577847368,8.32925602956726,1.6152299379241846,5.156699878355967,22
315.18021349850346,56.80598479757163,11.047157386292794,5.1421359184140725,23
266.2602961850551,13.308140037878859,2.641475175201291,5.038146925543821,24
197.02283256803753,86.40141147805512,17.239321235471216,5.011880125260719,25
396.15451211612657,34.39150984908089,6.944662618749892,4.952221833106052,26
552.1853774182944,75.7902406195843,15.317444414238361,4.947969032235257,27
286.150450737902,38.06321671233396,7.700814752221497,4.942751894714894,28
553.1716660738075,37.21579864718982,7.548263707875336,4.930378704632571,29
312.15559495493005,18.4007767712783,3.7416856079736562,4.9177773587251306,30
242.32635814460457,32.02769149680106,6.5141346845088055,4.916645578122468,31
305.3830795204069,31.890251656329866,6.543204472975388,4.873797201840253,32
285.164162082389,30.73857763820456,6.318939111239847,4.864515560636379,33
550.1799238187511,51.519146602054654,10.721595320795608,4.80517544784804,34
663.6031192027544,18.188358873454955,3.803021239453245,4.782607754062205,35
374.12739880966797,303.483938939201,63.61659441760945,4.770515330358903,36
318.43496606169657,24.422614892671614,5.145165632364904,4.7467111134961435,37
200.04745111161094,325.73022597832545,68.71443602904955,4.74034634928649,38
687.6028098202391,14.957943114983957,3.1842119210756397,4.697533795185834,39
727.1858611948303,42.95508743219355,9.213502208093562,4.662188867746474,40
375.14656375369816,722.0900433496521,155.653319296518,4.639091839535005,41
